1,2
8,6
6,8
9,5
3,12
11,13
14,6
3,10
6,8
5,16
10,12
7,15
12,2
7,5
3,16
12,6,5
3,14,8
11,1
6,5,12
8,6
11,7
12,2
6,2
8,12
12,6
10,5
1,5
9,10,5
8,2
7,6
6,10
15,6
8,12
8,13,6
8,4
11,8
9,1
3,16
6,16
6,5,1
1,2
6,15
6,8
7,12
7,6
7,2
1,2
12,6
7,6
5,2
11,8
9,6
7,5
9,8,6
11,3
10,6
12,2
6,3
8,6
6,2
6,13
7,8,2
10,3
7,8
5,2
6,10
12,6
8,10
7,6
6,5
1,2
5,13
7,5
8,12
11,6
6,10
1,6,5
7,15
6,12
11,8,12
10,14,16
9,12
15,6
10,6
3,5
5,10
10,6
10,6
11,15
7,11
9,3
8,6
3,6
10,2
1,2
12,6
16,14
12,15
11,8
11,8
12,10
9,3
12,2
7,5
7,8,6,12
6,14
8,5,2
12,8,4
10,12
15,1
15,5
6,8
13,5,10,6
3,2
11,7,3
7,12
11,8
7,6,4
7,5
9,10,6
6,4
8,6
8,13
7,6
9,7,8,6
6,2
6,10
11,7
9,5
10,12
6,5,2
8,6,5
6,2
7,8
7,8
8,6
7,8
7,11,16,5
12,15,6
6,10,1,4
13,6
6,8
6,5
11,2
8,13
12,2
6,10
8,6
6,10
5,2
7,12
10,6
11,8
5,2
16,6
14,6
9,5,3
9,6
7,6
9,10
12,4
6,12
13,6,8
15,12
6,12
7,11
9,6
7,16
7,6
9,3
8,6
9,5
6,10
8,6
6,10,1
11,13
7,1
8,6
7,8,6
10,12
7,2
9,6
3,5
7,16
6,12
7,6
7,6
6,1
7,6
9,1
8,6
7,12
7,6
11,8
11,8
6,8
10,2
8,6
8,2
8,6
9,7,8
6,8
7,6
12,6
11,2
7,2
7,3,12
5,12,2
9,5
6,4
6,1
7,6
10,6
10,16
6,16
7,13
9,15
12,8
8,6
5,6
12,4
12,6
11,12
6,2
14,12
5,4
10,16
12,2
12,5
3,8,15
11,12
10,4
10,5
6,8
11,8
3,8
8,6
12,5,6
12,15
6,10
8,6
10,4
6,1
5,6
8,7
10,2
6,8
11,13
6,8
15,5
9,11
6,2
16,12
6,12
11,12
11,7
6,8
14,13,1,2
7,6,1
9,15
6,10
7,5
6,2
10,5
7,10
6,12
15,5
14,2
8,6
5,15
1,2
15,8,6,5
16,5
13,6
12,5
11,8
7,3,16
11,8
10,4
7,4
7,8
6,8
3,6
11,12
7,12,6
10,6
7,13
9,10
6,5
9,16,12
12,5
10,12
7,12
6,10,12
9,3
6,10
11,10
6,1
16,10
9,10
8,10
8,3,6
11,8
6,4
9,5
5,12
13,6
6,16,8
6,14
7,2
10,1
7,11
7,2
4,2
12,6
8,6
11,7
7,6
7,6
11,4
7,8,12
8,12
7,15
10,14,16
9,12
11,2
15,6
7,4
10,6
11,15
13,8,6
8,6
6,2
11,6
12,2
6,2
12,5
6,10
5,10
8,3
7,6
8,6,5
9,12
12,10
6,2
6,13
7,16
12,6
12,6
15,6
6,10
6,4
6,5,2
11,8,12
6,2
7,5
6,12
12,5
7,12,15,10
10,13
6,12
9,7
3,6,12
10,12
6,1
10,2
13,2
7,12
7,6
12,5,1
3,12
11,12
7,11
15,5
12,16
14,6
12,10
7,6
9,6
12,6
6,13
3,6
14,15
5,2
14,13
7,6
3,16
7,2
11,3
8,6
5,6
1,2
6,8
7,2
7,6
10,1
15,8
11,12
6,2
10,16
10,1
5,6
11,8
5,2
9,12
11,3
9,5
8,2
12,3
12,6
6,8
11,8
7,6
11,5
5,7
5,6
9,8
15,6
5,6
3,16
16,10,5
13,4
7,3
6,12,4
5,12,10
6,5
8,13,12,1
7,6,12
7,3
12,6,5
7,6,8
10,6
7,6
10,12
15,10
6,14,10
8,6
5,2
5,1
12,13
7,1,2
10,6
11,7,8
6,4
8,4
9,7,5
15,2
7,6
7,8,6,12
11,4
8,16
9,15
6,8
7,6
6,14
3,6
11,5,8
6,5
5,12
11,6,8,12
11,7,8
5,16
10,6
11,10
16,15
13,5
11,1
12,2
5,2
7,6
7,6
6,10
6,14
10,5
3,12
11,7
8,6
3,6,10
6,10,12,1
3,15
7,12
8,3
7,6,4
6,10
7,4
6,4
12,1
11,7,8,6
6,2
7,6
7,6
5,8,10
8,2
6,3
5,6
7,6
1,2
6,5
10,12
8,12
7,13
6,2
11,8
10,12
7,10
6,10
8,3
8,6
6,4
7,5,4
7,12
13,3
6,1
9,5
6,4
7,12
3,12
3,10
7,3,12
9,5
11,13
11,8
8,13
9,5,7,12,4
6,10
7,2
6,5,4
10,7
7,14,12
5,4
6,14,3
6,15
7,6
16,6
11,2
8,6,16,5,4
11,10
5,3,6
7,10
11,8
14,12,6
9,2
12,10,5
13,6
12,5
8,6,12
10,5
6,5
8,10
9,10
9,3,10
6,2
9,14
3,8,5
6,4
11,8
12,13
10,6
12,6,5
7,10
16,12
7,3
10,6
8,6
11,8
11,12,8
12,10
6,3
7,10
6,14,2
7,6
